1046132,50003958
1046133,50003958
1046134,50003958
1046129,50003958
1046124,50003958
1046130,50003958
1046131,50003958
1046128,50003958
1046126,50003958
1046127,50003958
1046106,50003958
1046107,50003958
1046105,50003958
1048153,50003404
1048152,50003404
1048154,50003404
1048155,50003404
1048156,50003404
1048149,50003404
1048148,50003404
1048146,50003404
1048147,50003404
1048150,50003404
1048151,50003404
1048145,50003404
1048141,50003404
1048142,50003404
1048143,50003404
1048144,50003404
1048138,50003404
1031655,50002068
1034595,50003404
1034599,50015160
1034597,50015160
1034598,50015160
1034600,50015160
1034601,50015160
1041115,50015160
1034603,50015160
1034602,50015160
1034606,50015160
1034604,50015160
1034605,50015160
1034596,50015160
1046159,50003404
1046160,50003404
1046158,50003404
1046161,50003404
1046157,50003404
1046163,50003404
1046164,50003404
1046162,50003404
1046156,50003404
1036890,50003691
1046277,50003691
1034918,50003691
1034919,50003691
1034920,50003691
1034917,50003691
1036853,50003691
1034921,50003691
1034922,50003691
1036854,50003691
10388,50003691
1032599,50003288
1032598,50003288
1036781,50003459
1036846,50003459
1036731,50003288
1036732,50003459
1036847,50003459
1034926,50003288
1034925,50003288
1034924,50003376
1034923,50003459
1036870,50003459
1036865,50003459
201159702,50003288
201162605,50003288
201160205,50003288
10390,50003459
1042605,50003459
1045953,50003404
1045952,50003404
1045950,50003404
1045951,50003404
1045949,50003404
1045954,50003404
1045955,50003404
1045957,50003404
1045956,50003404
1045948,50003404
1046167,50003404
1046168,50003404
1046166,50003404
1046169,50003404
1046170,50003404
1046165,50003404
1034556,50003404
1037254,50003404
10393,50003404
1040323,50003404
1040336,50003404
1040299,50003404
1040315,50003404
1040353,50003404
1040355,50003404
1040354,50003404
1040359,50003404
201156206,50003404
201156703,50003404
201156307,50003404
201160206,50003404
201156005,50003404
1040298,50003404
1045971,50003404
1045970,50003404
1045972,50003404
1045975,50003404
1045973,50003404
1045974,50003404
1045976,50003404
201494101,50003404
1045968,50003404
1046188,50003404
1046190,50003404
1046186,50003404
1046087,50009380
1046088,50009380
1046089,50009380
1046085,50001796
1046086,50009380
1046084,50009380
1036595,50003404
1031641,50003532
1044107,50003532
1044105,50003532
1044099,50003532
1044095,50003532
201157105,50005482
201156506,50003127
201156306,50005482
201160306,50005482
201156305,50005482
1037250,50003288
201157407,50003288
201156606,50003288
201156705,50003288
201160804,50003288
201156904,50003288
201163104,50003288
201155906,50003288
201158202,50003288
201160507,50003288
201158306,50003793
201158609,50003793
201161305,50003793
201156704,50003288
201475601,50003288
201160606,50003404
201160106,50003404
201160006,50003404
201157606,50007629
201157008,50003404
201161105,50003376
201156604,50003376
201160304,50003376
201159803,50003376
201360736,50003404
201349349,50003404
201353859,50003404
201348962,50003404
201359554,50003404
201373405,50003404
1034591,50003404
201493901,50003404
1035661,50003404
201161111,50003404
201157009,50003404
201156103,50001796
201158105,50001034
201160805,50003404
10386,50003404
201155606,50003404
201163503,50003404
201157207,50003404
201160803,50003404
201161003,50003404
201158707,50003404
201157906,50003404
55,50003404
1034110,50001964
3416,50001964
1034112,50002082
1917,50004616
1913,50002082
1916,50004615
1914,50002082
1915,50002074
1901,50000267
1903,50000267
3417,50002082
1034119,50001032
1034122,50002979
1034113,50002979
1034117,50002979
1034118,50003443
3418,50003443
1034129,50001508
1036819,50001509
1034123,50003439
1034124,50003439
1034126,50003439
1034128,50003439
1034125,50003439
3419,50003439
1034101,50003767
1034102,50003443
1034103,50003514
1034104,50003767
94,50003767
1918,50000268
1919,50000378
1907,50002113
1902,50000267
19,50000267
1034141,50003439
1034139,50003439
1034140,50003439
1034142,50003439
503,50003439
2131,50003439
1034143,50003439
1034145,50003439
1034146,50003439
