카테고리코드,1차카테고리명,2차카테고리명,3차카테고리명,4차카테고리명
50001293,스포츠/레저,수련용품,띠/벨트,
50001294,스포츠/레저,수련용품,격파용품,
50001296,스포츠/레저,수련용품,기타수련용품,
50000053,스포츠/레저,스포츠액세서리,,
50001297,스포츠/레저,스포츠액세서리,스포츠선글라스,
50001301,스포츠/레저,스포츠액세서리,스포츠헤어밴드,
50001302,스포츠/레저,스포츠액세서리,스포츠토시,
50006374,스포츠/레저,스포츠액세서리,스포츠마스크,
50006375,스포츠/레저,스포츠액세서리,스포츠넥워머,
50006376,스포츠/레저,스포츠액세서리,아이스머플러/스카프,
50005302,스포츠/레저,스포츠액세서리,볼캐리어,
50001177,스포츠/레저,스포츠액세서리,스코어보드/작전판,
50001179,스포츠/레저,스포츠액세서리,호각/호루라기,
50000020,스포츠/레저,마라톤용품,,
50000021,스포츠/레저,당구용품,,
50000022,스포츠/레저,기타스포츠용품
