50003307,061001005002,066007001005
50003308,065005008003,066011005008
50003309,065005008003,066011005008
50003314,065005004002,066011005004
50003310,065005008003,066011005008
50003311,065005008003,066011005008
50003312,065005008003,066011005008
50003313,065005008003,066011005008
50001066,065005011002,066011005011
50008228,065004004001,066011004004
50008208,065005003001,066011005003
50008188,065005004001,066011005004
50008848,065005004001,066011005004
50001060,065005011003,066011005011
50001064,065005011003,066011005011
50003321,065005006002,066011005006
50003315,065005006002,066011005006
50003316,065005006002,066011005006
50003317,065005006002,066011005006
50003318,065005006002,066011005006
50003319,065005006002,066011005006
50003320,065005006002,066011005006
50001061,065005005001,066011005005
50003328,065006011006,066011006011
50003327,065006011006,066011006011
50003325,065006011006,066011006011
50003324,065006011006,066011006011
50003326,065006011006,066011006011
50003323,065006011006,066011006011
50001062,065005008002,066011005008
50003691,065005011002,066011005011
50003690,065005011001,066011005011
50003694,065005011001,066011005011
50003693,065005011001,066011005011
50003696,065005011001,066011005011
50003329,065005010001,066011005010
50003692,065005011001,066011005011
50001067,065005010002,066011005010
50007146,065005010002,066011005010
50003322,065005010001,066011005010
50003684,065005010001,066011005010
50003685,065005010001,066011005010
50003686,065005010001,066011005010
50003687,065005010001,066011005010
50003688,065005010002,066011005010
50003689,065005010001,066011005010
50001063,065005010001,066011005010
50001065,065005010001,066011005010
50001310,065001004001,066011001004
50003242,065001001007,066011001001
50003245,065001001004,066011001001
50003248,065001001006,066011001001
50003250,060001005006,066006001005
50003247,065001001005,066011001001
50003249,065001001006,066011001001
50003243,065001001002,066011001001
50003246,065001001007,066011001001
50003244,065001001003,066011001001
50009000,065001001006,066011001001
50001311,065006007002,066011006007
50003251,065001002001,066011001002
50003253,065001002002,066011001002
50003254,065001002004,066011001002
50003304,064001010001,066010001009
50003306,065003004001,066011003004
50003298,065003004001,066011003004
50003300,065003006001,066011003006
50003299,065003005001,066011001003
50003296,065003002004,066011003002
50003297,065003002001,066011003002
50003302,065003006002,066011003006
50003301,065006007001,066011006007
50003305,065003004001,066011003004
50003303,065003003003,066011003003
50003294,065003005002,066011001003
50003683,065003005001,066011001003
50003266,065006011002,066011006011
50003291,065001003002,066011001003
50003295,065003005005,066011001003
50003682,065001003001,066011001003
50003264,065001003005,066011001003
50003265,065003005004,066011001003
50003293,065003005002,066011001003
50003292,065003005002,066011001003
50001347,065003002001,066011003002
50003677,065003002001,066011003002
50003263,065003002001,066011003002
50003680,065003002002,066011003002
50003681,065003002001,066011003002
50007169,065003003004,066011003003
50003675,065003002001,066011003002
50003676,065003002003,066011003002
50003695,065004006003,066011004006
50003678,065003002004,066011003002
50003679,065003002001,066011003002
50001346,065003003002,066011003003
50000980,065007004004,066011007004
